site_id,type,x_A,y_A,z_A
T,top,0.408982,1.048628,16.082745
B,bridge,5.024306,7.565863,16.082745
B1,bridge,6.575123,8.049018,16.082745
B2,bridge,7.562151,5.049330,16.082745
B3,bridge,5.044338,5.043445,16.082745
H,hollow,7.563070,7.559476,16.082745
H1,hollow,7.137995,9.021714,16.082745
H2,hollow,9.675840,6.505180,16.082745
