site_id,type,x_A,y_A,z_A
T,top,10.060807,10.047716,16.211912
B,bridge,6.913635,5.240281,16.211912
B1,bridge,5.036025,7.559272,16.211912
B2,bridge,2.496632,7.570208,16.211912
H,hollow,6.294260,2.892483,16.211912
H1,hollow,7.552188,10.049702,16.211912
H2,hollow,7.967722,8.504370,16.211912
